Uur;Timestamp;Druk_MPa;Druk_bar;Opslag_volume_TWh;Opslag_volume_GWh
89;2035-01-04 16:00:00;14,19830271949402;141,9830271949402;0,16355475532916594;163,55475532916594
90;2035-01-04 17:00:00;14,210161257804565;142,10161257804566;0,16379133116666594;163,79133116666594
91;2035-01-04 18:00:00;14,222088095982919;142,22088095982917;0,16402926957499928;164,02926957499926
92;2035-01-04 19:00:00;14,234063435407087;142,34063435407086;0,1642681755749993;164,26817557499928
93;2035-01-04 20:00:00;14,245931854962478;142,45931854962478;0,16450494854166595;164,50494854166595
94;2035-01-04 21:00:00;14,257474469547216;142,57474469547216;0,16473522175416597;164,73522175416596
95;2035-01-04 22:00:00;14,268480723912688;142,68480723912688;0,16495479467083263;164,95479467083263
96;2035-01-04 23:00:00;14,279826774386418;142,7982677438642;0,1651811464624993;165,1811464624993
97;2035-01-05 00:00:00;14,29137336623956;142,9137336623956;0,16541149902083263;165,41149902083262
98;2035-01-05 01:00:00;14,302551945162568;143,02551945162568;0,16563450978333263;165,63450978333265
99;2035-01-05 02:00:00;14,313157486028812;143,1315748602881;0,16584608853333263;165,84608853333262
100;2035-01-05 03:00:00;14,324663300803422;143,24663300803422;0,16607562759583264;166,07562759583263
101;2035-01-05 04:00:00;14,336798734731763;143,36798734731764;0,16631772745416595;166,31772745416595
102;2035-01-05 05:00:00;14,34892789062035;143,4892789062035;0,16655970206666595;166,55970206666595
103;2035-01-05 06:00:00;14,36079415873732;143,6079415873732;0,16679643211249928;166,79643211249928
104;2035-01-05 07:00:00;14,372049738311865;143,72049738311864;0,16702097902499927;167,02097902499926
105;2035-01-05 08:00:00;14,383295309865222;143,8329530986522;0,16724532627916597;167,24532627916597
106;2035-01-05 09:00:00;14,394551538776923;143,94551538776923;0,1674698861458326;167,46988614583262
107;2035-01-05 10:00:00;14,405516955912978;144,05516955912978;0,16768864436666595;167,68864436666595
108;2035-01-05 11:00:00;14,416260930699112;144,16260930699113;0,16790298484999924;167,90298484999926
109;2035-01-05 12:00:00;14,427357849992145;144,27357849992146;0,16812436651666593;168,12436651666593
110;2035-01-05 13:00:00;14,438673384543504;144,38673384543503;0,1683501095208326;168,3501095208326
111;2035-01-05 14:00:00;14,450037977989506;144,50037977989507;0,16857683124166592;168,57683124166593
112;2035-01-05 15:00:00;14,461486651303172;144,61486651303173;0,16880523034166595;168,80523034166595
113;2035-01-05 16:00:00;14,473031398738033;144,73031398738033;0,16903554610416593;169,03554610416595
114;2035-01-05 17:00:00;14,484720393634044;144,84720393634043;0,1692687395791659;169,26873957916592
115;2035-01-05 18:00:00;14,49651407968323;144,96514079683232;0,16950402162499925;169,50402162499924
116;2035-01-05 19:00:00;14,508421245807074;145,08421245807074;0,16974156757916592;169,74156757916592
117;2035-01-05 20:00:00;14,520361340780974;145,20361340780974;0,16997977045833257;169,97977045833258
118;2035-01-05 21:00:00;14,532288356487983;145,32288356487985;0,17021771240833258;170,21771240833257
119;2035-01-05 22:00:00;14,54414211489175;145,4414211489175;0,17045419288749922;170,4541928874992
120;2035-01-05 23:00:00;14,55600149406154;145,56001494061542;0,17069078549999925;170,69078549999924
121;2035-01-06 00:00:00;14,56832372238581;145,6832372238581;0,17093661187499923;170,93661187499922
122;2035-01-06 01:00:00;14,580710862913467;145,80710862913466;0,17118373323749925;171,18373323749924
123;2035-01-06 02:00:00;14,593112324990877;145,93112324990875;0,17143114031249926;171,43114031249925
124;2035-01-06 03:00:00;14,605538213548986;146,05538213548985;0,1716790346916659;171,6790346916659
125;2035-01-06 04:00:00;14,618017000842084;146,18017000842084;0,1719279843916659;171,9279843916659
126;2035-01-06 05:00:00;14,63052522217705;146,3052522217705;0,17217752129583255;172,17752129583255
127;2035-01-06 06:00:00;14,643035715461068;146,43035715461068;0,17242710352499924;172,42710352499924
128;2035-01-06 07:00:00;14,655721475683404;146,55721475683404;0,17268018229999924;172,68018229999925
129;2035-01-06 08:00:00;14,668378213730344;146,68378213730344;0,17293268208749923;172,93268208749924
130;2035-01-06 09:00:00;14,680588930459434;146,80588930459433;0,17317628382499925;173,17628382499925
131;2035-01-06 10:00:00;14,69232397148441;146,9232397148441;0,17341039591249927;173,41039591249927
132;2035-01-06 11:00:00;14,703982567418103;147,03982567418103;0,17364298293333258;173,64298293333258
133;2035-01-06 12:00:00;14,71555781469333;147,1555781469333;0,17387390716249926;173,87390716249925
134;2035-01-06 13:00:00;14,726934322191687;147,26934322191687;0,1741008665666659;174,1008665666659
135;2035-01-06 14:00:00;14,738024866326347;147,38024866326347;0,17432212104999922;174,32212104999923
136;2035-01-06 15:00:00;14,748229701421081;147,48229701421081;0,17452570578749924;174,52570578749925
137;2035-01-06 16:00:00;14,7580618013235;147,58061801323498;0,17472185452083255;174,72185452083255
138;2035-01-06 17:00:00;14,768409679399682;147,68409679399682;0,1749282929416659;174,9282929416659
139;2035-01-06 18:00:00;14,779814880749855;147,79814880749856;0,17515582478333258;175,15582478333258
140;2035-01-06 19:00:00;14,791756108147707;147,91756108147706;0,1753940502541659;175,3940502541659
141;2035-01-06 20:00:00;14,80394762149793;148,0394762149793;0,17563726888749923;175,63726888749923
142;2035-01-06 21:00:00;14,816214979266016;148,16214979266016;0,1758820006041659;175,88200060416588
143;2035-01-06 22:00:00;14,828383198141776;148,28383198141776;0,17612475451666587;176,12475451666586
144;2035-01-06 23:00:00;14,840663856356572;148,40663856356574;0,1763697515749992;176,3697515749992
145;2035-01-07 00:00:00;14,853185674297816;148,53185674297816;0,17661955972916588;176,61955972916587
146;2035-01-07 01:00:00;14,865736975780095;148,65736975780095;0,17686995607499922;176,86995607499924
147;2035-01-07 02:00:00;14,878255586509573;148,78255586509573;0,17711970024583257;177,11970024583258
148;2035-01-07 03:00:00;14,890817172957743;148,90817172957742;0,17737030177499924;177,37030177499923
149;2035-01-07 04:00:00;14,903335084433182;149,03335084433184;0,17762003199583257;177,62003199583256
150;2035-01-07 05:00:00;14,915821283025412;149,15821283025412;0,17786912954999923;177,86912954999923
151;2035-01-07 06:00:00;14,928208025888885;149,28208025888887;0,17811624297916587;178,11624297916586
152;2035-01-07 07:00:00;14,940783029534959;149,40783029534958;0,17836711217916587;178,36711217916587
153;2035-01-07 08:00:00;14,9532826770714;149,532826770714;0,17861647803749922;178,61647803749923
154;2035-01-07 09:00:00;14,965536867225982;149,6553686722598;0,17886094706249922;178,8609470624992
155;2035-01-07 10:00:00;14,977426957181946;149,77426957181945;0,17909815234999923;179,09815234999922
156;2035-01-07 11:00:00;14,989291414715508;149,89291414715507;0,1793348462749992;179,33484627499922
157;2035-01-07 12:00:00;15,001090408662572;150,01090408662571;0,1795702342124992;179,5702342124992
158;2035-01-07 13:00:00;15,01289338697919;150,1289338697919;0,1798057016374992;179,8057016374992
159;2035-01-07 14:00:00;15,02471584541051;150,2471584541051;0,1800415576874992;180,0415576874992
160;2035-01-07 15:00:00;15,036600858255845;150,36600858255844;0,18027866168749918;180,27866168749918
161;2035-01-07 16:00:00;15,048543928192263;150,48543928192262;0,18051692391666585;180,51692391666586
162;2035-01-07 17:00:00;15,060533136154831;150,6053313615483;0,18075610659166585;180,75610659166585
163;2035-01-07 18:00:00;15,072555354421777;150,72555354421777;0,18099594781666584;180,99594781666585
164;2035-01-07 19:00:00;15,084674348361387;150,84674348361386;0,18123771969999916;181,23771969999916
165;2035-01-07 20:00:00;15,096863778987222;150,96863778987222;0,18148089678333248;181,4808967833325
166;2035-01-07 21:00:00;15,109055299438594;151,09055299438594;0,18172411555833248;181,72411555833247
167;2035-01-07 22:00:00;15,121263047262024;151,21263047262025;0,18196765806666582;181,96765806666582
168;2035-01-07 23:00:00;15,133691083081414;151,33691083081413;0,1822155952833325;182,2155952833325
169;2035-01-08 00:00:00;15,146331604408013;151,46331604408013;0,18246777154999916;182,46777154999916
170;2035-01-08 01:00:00;15,159020822261946;151,59020822261945;0,1827209193041658;182,72091930416582
171;2035-01-08 02:00:00;15,171698588891164;151,71698588891164;0,1829738386083325;182,9738386083325
172;2035-01-08 03:00:00;15,184378539958248;151,8437853995825;0,1832268014916658;183,2268014916658
173;2035-01-08 04:00:00;15,197016193257237;151,97016193257238;0,1834789205416658;183,47892054166581
174;2035-01-08 05:00:00;15,209528731880198;152,09528731880198;0,18372854357499915;183,72854357499915
175;2035-01-08 06:00:00;15,221823465193205;152,21823465193205;0,18397382142916582;183,9738214291658
176;2035-01-08 07:00:00;15,23367219452351;152,3367219452351;0,18421020157916582;184,2102015791658
177;2035-01-08 08:00:00;15,245460190257212;152,4546019025721;0,18444537010416584;184,44537010416585
178;2035-01-08 09:00:00;15,257214021541431;152,57214021541432;0,1846798570541658;184,6798570541658
179;2035-01-08 10:00:00;15,268766940098066;152,68766940098067;0,18491033582916583;184,91033582916583
180;2035-01-08 11:00:00;15,28033837008953;152,8033837008953;0,1851411839041658;185,1411839041658
181;2035-01-08 12:00:00;15,2918919185596;152,918919185596;0,1853716752458325;185,3716752458325
182;2035-01-08 13:00:00;15,303386728437415;153,03386728437414;0,18560099476249917;185,60099476249917
183;2035-01-08 14:00:00;15,314793044458673;153,14793044458673;0,18582854884166586;185,82854884166585
184;2035-01-08 15:00:00;15,32575505555087;153,2575505555087;0,18604723911249918;186,04723911249917
185;2035-01-08 16:00:00;15,336302461004568;153,36302461004567;0,1862576580708325;186,2576580708325
186;2035-01-08 17:00:00;15,337399832445328;153,37399832445328;0,18627955044583253;186,2795504458325
187;2035-01-08 18:00:00;15,33048065443361;153,3048065443361;0,1861415140124992;186,14151401249921
188;2035-01-08 19:00:00;15,317291710755605;153,17291710755603;0,18587839681249918;185,87839681249918
189;2035-01-08 20:00:00;15,316446284846842;153,16446284846842;0,18586153070833253;185,86153070833254
190;2035-01-08 21:00:00;15,313333467154456;153,13333467154456;0,1857994305208325;185,79943052083252
191;2035-01-08 22:00:00;15,314040997995008;153,14040997995008;0,18581354564166586;185,81354564166585
192;2035-01-08 23:00:00;15,315794284969064;153,15794284969064;0,1858485234208325;185,8485234208325
193;2035-01-09 00:00:00;15,323852013341407;153,23852013341406;0,18600927374166584;186,00927374166585
194;2035-01-09 01:00:00;15,33317790908591;153,3317790908591;0,18619532378749917;186,19532378749918
195;2035-01-09 02:00:00;15,343381162713627;153,43381162713627;0,18639887697499916;186,39887697499915
196;2035-01-09 03:00:00;15,355040239018972;153,55040239018973;0,18663147357916585;186,63147357916586
197;2035-01-09 04:00:00;15,359157342360296;153,59157342360297;0,18671360909583248;186,71360909583248
198;2035-01-09 05:00:00;15,3620245894702;153,620245894702;0,18677081019166583;186,77081019166584
199;2035-01-09 06:00:00;15,359566699207514;153,59566699207514;0,18672177569583248;186,7217756958325
200;2035-01-09 07:00:00;15,35728005705215;153,5728005705215;0,18667615757083247;186,6761575708325
201;2035-01-09 08:00:00;15,360030804638287;153,60030804638288;0,18673103452083248;186,73103452083248
202;2035-01-09 09:00:00;15,362833986669763;153,62833986669762;0,18678695752916583;186,78695752916582
203;2035-01-09 10:00:00;15,373076048687679;153,7307604868768;0,18699128493749914;186,99128493749913
204;2035-01-09 11:00:00;15,384835863105232;153,84835863105232;0,18722589124999914;187,22589124999914
205;2035-01-09 12:00:00;15,39662815461463;153,9662815461463;0,18746114547499915;187,46114547499914
206;2035-01-09 13:00:00;15,408442475967911;154,0844247596791;0,1876968391916658;187,6968391916658
207;2035-01-09 14:00:00;15,420318847344973;154,20318847344973;0,18793377079583248;187,9337707958325
208;2035-01-09 15:00:00;15,432267194477253;154,32267194477254;0,1881721383041658;188,1721383041658
209;2035-01-09 16:00:00;15,444269471681569;154,44269471681568;0,18841158170833247;188,41158170833248
210;2035-01-09 17:00:00;15,456285540982535;154,56285540982535;0,18865130026249913;188,65130026249912
211;2035-01-09 18:00:00;15,467420911519886;154,67420911519886;0,18887344902499914;188,87344902499913
212;2035-01-09 19:00:00;15,478229733763666;154,78229733763666;0,18908908320416581;189,0890832041658
213;2035-01-09 20:00:00;15,488199196357195;154,88199196357195;0,18928797229999914;189,28797229999913
214;2035-01-09 21:00:00;15,497675475370817;154,97675475370818;0,18947702246666578;189,47702246666577
215;2035-01-09 22:00:00;15,506833224746856;155,06833224746856;0,18965971802083245;189,65971802083246
216;2035-01-09 23:00:00;15,50863227505718;155,08632275057178;0,18969560877083244;189,69560877083245
217;2035-01-10 00:00:00;15,508527913480727;155,08527913480725;0,1896935267749991;189,6935267749991
218;2035-01-10 01:00:00;15,507810661379978;155,07810661379978;0,18967921771666577;189,67921771666576
219;2035-01-10 02:00:00;15,505294377348342;155,05294377348343;0,18962901827499912;189,6290182749991
220;2035-01-10 03:00:00;15,502836257760407;155,02836257760407;0,18957997920416578;189,57997920416577
221;2035-01-10 04:00:00;15,508628943575356;155,08628943575357;0,18969554230833244;189,69554230833245
222;2035-01-10 05:00:00;15,506116120308175;155,06116120308175;0,18964541190833242;189,64541190833242
223;2035-01-10 06:00:00;15,498962706396346;154,98962706396347;0,18950270250833243;189,50270250833242
224;2035-01-10 07:00:00;15,48817746225516;154,8817746225516;0,1892875387083324;189,2875387083324
225;2035-01-10 08:00:00;15,485537882902905;154,85537882902906;0,1892348795458324;189,2348795458324
226;2035-01-10 09:00:00;15,48880770359461;154,88807703594608;0,18930011191666574;189,30011191666574
227;2035-01-10 10:00:00;15,496156931819957;154,96156931819957;0,18944672777916574;189,44672777916574
228;2035-01-10 11:00:00;15,50567883924807;155,0567883924807;0,1896366882249991;189,6366882249991
229;2035-01-10 12:00:00;15,515816499588942;155,15816499588942;0,18983893283749909;189,83893283749907
230;2035-01-10 13:00:00;15,526203192738752;155,2620319273875;0,19004614561249908;190,0461456124991
231;2035-01-10 14:00:00;15,53653829188475;155,3653829188475;0,19025232909583242;190,25232909583244
232;2035-01-10 15:00:00;15,539413766507879;155,3941376650788;0,19030969432916575;190,30969432916575
233;2035-01-10 16:00:00;15,541027239851124;155,41027239851124;0,1903418828499991;190,34188284999908
234;2035-01-10 17:00:00;15,54286900459973;155,4286900459973;0,19037862574583242;190,3786257458324
235;2035-01-10 18:00:00;15,552531548138465;155,52531548138464;0,1905713918583324;190,57139185833242
236;2035-01-10 19:00:00;15,562655437268411;155,6265543726841;0,19077336173749906;190,77336173749907
237;2035-01-10 20:00:00;15,572899013710169;155,72899013710168;0,1909777193583324;190,97771935833242
238;2035-01-10 21:00:00;15,584066986235994;155,84066986235993;0,19120051852499909;191,2005185249991
239;2035-01-10 22:00:00;15,596153626518388;155,9615362651839;0,1914416449583324;191,4416449583324
240;2035-01-10 23:00:00;15,608476006264155;156,08476006264155;0,19168747435416575;191,68747435416574
