Time (days), Pressure (MPa), Temperature (K)
1.925194070957448105e+02,1.486465188458402586e+01,3.171167600256505352e+02
1.949005946573574590e+02,1.529514190273284591e+01,3.184384399059320003e+02
1.949830838338567389e+02,1.561600402806115895e+01,3.194235429222908351e+02
1.976227374818338092e+02,1.563828612009784891e+01,3.194919528539824114e+02
1.977205024317588880e+02,1.609234564004547607e+01,3.208859952397865527e+02
1.985026220311595182e+02,1.670086338409742766e+01,3.227542514715249808e+02
1.991625354431537858e+02,1.729941608143296961e+01,3.245919132615902640e+02
2.011422756791365885e+02,1.795905884776910000e+01,3.266171322810432684e+02
2.011422756791365885e+02,1.836338597618484414e+01,3.278584874998635428e+02
2.046618138764393393e+02,1.783265439648597095e+01,3.262290484393845418e+02
2.063335945201581296e+02,1.747098819011547022e+01,3.251186697356154696e+02
2.079613809364106771e+02,1.713954207106973016e+01,3.241010720017031304e+02
2.104610529515404664e+02,1.669040599317566276e+01,3.227221454467651824e+02
2.113489364513146143e+02,1.636200846944948850e+01,3.217139074353251544e+02
2.146878667674400276e+02,1.584588745947125155e+01,3.201293253871463662e+02
2.190246351963145912e+02,1.555402922893558681e+01,3.192332694162035409e+02
2.196198512149760802e+02,1.596583287303716858e+01,3.204975788498487645e+02
2.198398223523075217e+02,1.510485283673952850e+01,3.178542190892858343e+02
2.213796203136274698e+02,1.562268865567216736e+01,3.194440659017982966e+02
2.226994471376160050e+02,1.499879007864489111e+01,3.175285878144338767e+02
2.240506984097947907e+02,1.464784712906704733e+01,3.164511313902913798e+02
2.266589276095816103e+02,1.428477281826923040e+01,3.153364295588945652e+02
2.285202218485398475e+02,1.392616444814030530e+01,3.142354389488496054e+02
2.311072328311726096e+02,1.360913027195675618e+01,3.132620884079352095e+02
2.323781771801986338e+02,1.314893079775901619e+01,3.118491952853983094e+02
2.342179357833340987e+02,1.270879871069250200e+01,3.104979125619485103e+02
2.353949242064581426e+02,1.233385187105695380e+01,3.093467599841200695e+02
2.372975317059740519e+02,1.193459729465410923e+01,3.081209783899008130e+02
2.398571958494669616e+02,1.253439069938715100e+01,3.099624493693443696e+02
2.402276735544462554e+02,1.273797865610131375e+01,3.105875001136422497e+02
2.440733093149859201e+02,1.295552223888056176e+01,3.112553970783153545e+02
2.460163876947468111e+02,1.259054157131960494e+01,3.101348423972071373e+02
2.461923646046119529e+02,1.221932191798837586e+01,3.089951329352252856e+02
2.471895670938476997e+02,1.182574589898033679e+01,3.077867855084462008e+02
2.484360702053924683e+02,1.150842415049785394e+01,3.068125520701227629e+02
2.503791485851533594e+02,1.108772587390515518e+01,3.055209345542679671e+02
2.526155218146894867e+02,1.046928640942686783e+01,3.036222169001679845e+02
2.528524138087387314e+02,1.086666181079500859e+01,3.048422290973508666e+02
2.555351387283611189e+02,1.153331707352065827e+01,3.068889777109822603e+02
2.565750022866550921e+02,1.190962559655844721e+01,3.080443108957474010e+02
2.581881239604188636e+02,1.240961098398169504e+01,3.095793537518713947e+02
2.598990105841077138e+02,1.279781454302088939e+01,3.107712067840092800e+02
2.612677198830587599e+02,1.323107744373427508e+01,3.121013999002345827e+02
2.631741364065977677e+02,1.431874062968515915e+01,3.154407166992065754e+02
2.634569564403096251e+02,1.386763967640240125e+01,3.140557576321103852e+02
2.644059747756537604e+02,1.343280465030642823e+01,3.127207378151490502e+02
2.668036601725662536e+02,1.352521962702859426e+01,3.130044680068398861e+02
2.678878036351282503e+02,1.416989625488007931e+01,3.149837383555067163e+02
2.685267674149957315e+02,1.475442980264254089e+01,3.167783588968827075e+02
2.692453397969450180e+02,1.514852573713143613e+01,3.179883025554012193e+02
2.703331970579295671e+02,1.548514737846388023e+01,3.190217900507201421e+02
2.710930973505290353e+02,1.585314119256161547e+01,3.201515956203184601e+02
2.723249357195849711e+02,1.635888897656435148e+01,3.217043300448882519e+02
2.730728375865118096e+02,1.677950060057690607e+01,3.229956815221197530e+02
